"","Date","variable","value"
"1",2012-06-27,"Tablet",24
"2",2012-06-28,"Tablet",24
"3",2012-06-29,"Tablet",24
"4",2012-06-30,"Tablet",24
"5",2012-07-01,"Tablet",24
"6",2012-07-02,"Tablet",24
"7",2012-07-03,"Tablet",24
"8",2012-07-04,"Tablet",24
"9",2012-07-05,"Tablet",24
"10",2012-07-06,"Tablet",24
"11",2012-07-07,"Tablet",24
"12",2012-07-08,"Tablet",24
"13",2012-07-09,"Tablet",24
"14",2012-07-10,"Tablet",24
"15",2012-07-11,"Tablet",24
"16",2012-07-12,"Tablet",24
"17",2012-07-13,"Tablet",24
"18",2012-07-14,"Tablet",24
"19",2012-07-15,"Tablet",24
"20",2012-07-16,"Tablet",24
"21",2012-07-17,"Tablet",24
"22",2012-07-18,"Tablet",24
"23",2012-07-19,"Tablet",24
"24",2012-07-20,"Tablet",24
"25",2012-07-21,"Tablet",24
"26",2012-07-22,"Tablet",24
"27",2012-07-23,"Tablet",24
"28",2012-07-24,"Tablet",24
"29",2012-07-25,"Tablet",24
"30",2012-07-26,"Tablet",24
"31",2012-07-27,"Tablet",24
"32",2012-07-28,"Tablet",24
"33",2012-07-29,"Tablet",24
"34",2012-07-30,"Tablet",24
"35",2012-07-31,"Tablet",24
"36",2012-08-01,"Tablet",24
"37",2012-08-02,"Tablet",24
"38",2012-08-03,"Tablet",24
"39",2012-08-04,"Tablet",24
"40",2012-08-05,"Tablet",24
"41",2012-08-06,"Tablet",24
"42",2012-08-07,"Tablet",24
"43",2012-08-08,"Tablet",24
"44",2012-08-09,"Tablet",24
"45",2012-08-10,"Tablet",24
"46",2012-08-11,"Tablet",24
"47",2012-08-12,"Tablet",24
"48",2012-08-13,"Tablet",24
"49",2012-08-14,"Tablet",24
"50",2012-08-15,"Tablet",24
"51",2012-08-16,"Tablet",24
"52",2012-08-17,"Tablet",24
"53",2012-08-18,"Tablet",24
"54",2012-08-19,"Tablet",24
"55",2012-08-20,"Tablet",24
"56",2012-08-21,"Tablet",24
"57",2012-08-22,"Tablet",24
"58",2012-08-23,"Tablet",24
"59",2012-08-24,"Tablet",24
"60",2012-08-25,"Tablet",24
"61",2012-08-26,"Tablet",24
"62",2012-08-27,"Tablet",24
